uid,hardware component
1000,"[['sr', 9084455], ['vib', 15480], ['cpu', 1544936], ['pr', 1568885]]"
1001,"[['cpu', 5171], ['pr', 5844]]"
1005,"[['cpu', 29], ['pr', 50]]"
1010,"[['wfl', 10818], ['cpu', 11094], ['pr', 10790]]"
1013,"[['cpu', 1052], ['pr', 980]]"
1017,"[['cpu', 514], ['pr', 510]]"
1020,"[['cpu', 100], ['pr', 100]]"
1021,"[['cpu', 157], ['pr', 170]]"
1027,"[['cpu', 127], ['pr', 131]]"
1036,"[['cpu', 66608], ['pr', 68950]]"
1040,"[['cpu', 121], ['pr', 130]]"
1041,"[['cpu', 918], ['pr', 900]]"
1046,"[['cpu', 252], ['pr', 231]]"
1047,"[['cpu', 27776], ['pr', 28250]]"
1053,"[['cpu', 65], ['pr', 71]]"
1058,"[['cpu', 4], ['pr', 11]]"
1064,"[['cpu', 20], ['pr', 40]]"
1066,"[['cpu', 58736], ['pr', 59720]]"
1068,"[['cpu', 2]]"
1069,"[['cpu', 75687], ['pr', 78140]]"
1072,"[['cpu', 1]]"
1073,"[['cpu', 4464], ['pr', 5300]]"
1076,"[['cpu', 2]]"
2000,"[['cpu', 515], ['pr', 851]]"
2903,"[['cpu', 141], ['pr', 140]]"
2906,"[['cpu', 266], ['pr', 270]]"
9999,"[['cpu', 276], ['pr', 302]]"
10025,"[['cpu', 439], ['pr', 50]]"
10058,"[['cpu', 70], ['pr', 100]]"
10071,"[['cpu', 107], ['pr', 130]]"
10080,"[['cpu', 49], ['pr', 90]]"
10082,"[['cpu', 795], ['pr', 480]]"
10086,"[['sr', 17261902], ['cpu', 37608], ['pr', 38910]]"
10087,"[['cpu', 3]]"
10089,"[['cpu', 1]]"
10090,"[['cpu', 149], ['pr', 90]]"
10102,"[['cpu', 8198], ['pr', 9220]]"
10103,"[['cpu', 344], ['pr', 60]]"
10104,"[['cpu', 13429], ['pr', 15881]]"
10107,"[['cpu', 492], ['pr', 620]]"
10109,"[['cpu', 2361], ['pr', 15230]]"
10111,"[['cpu', 59392], ['pr', 55700]]"
10112,"[['wfcd', 1], ['sr', 6841576], ['cpu', 686251], ['pr', 725220]]"
10115,"[['sr', 8113633], ['cpu', 85729], ['pr', 66780]]"
10118,"[['cpu', 724], ['pr', 2440]]"
10120,"[['cpu', 21999], ['pr', 16440]]"
10121,"[['cpu', 30045], ['pr', 31851]]"
10124,"[['cpu', 1231], ['pr', 460]]"
10126,"[['wfcd', 1], ['sr', 1064064], ['cpu', 875753], ['pr', 581290]]"
10127,"[['sr', 155], ['cpu', 85820], ['pr', 42320]]"
10128,"[['cpu', 29068], ['pr', 12111]]"
10130,"[['cpu', 1545], ['pr', 1560]]"
10132,"[['wfl', 1779], ['sr', 103], ['cpu', 29547], ['pr', 30791]]"
10133,"[['cpu', 317], ['pr', 1110]]"
10134,"[['cpu', 162656], ['pr', 131480]]"
10135,"[['cpu', 182059], ['pr', 93070]]"
10141,"[['cpu', 1347075], ['pr', 991290]]"
10142,"[['wfcd', 1], ['cpu', 56178], ['pr', 9200]]"
10143,"[['cpu', 1]]"
10145,"[['sr', 874810], ['cpu', 246154], ['pr', 141380]]"
10149,"[['cpu', 342], ['pr', 1190]]"
10151,"[['wfcd', 1], ['cpu', 168091], ['pr', 87401]]"
10153,"[['cpu', 25825], ['pr', 27460]]"
10155,"[['cpu', 41733], ['pr', 40870]]"
10156,"[['cpu', 973862], ['pr', 965810]]"
10157,"[['sr', 4723264], ['cpu', 79581], ['pr', 75830]]"
10158,"[['cpu', 688], ['pr', 1310]]"
10163,"[['cpu', 35421], ['pr', 44772]]"
10164,"[['cpu', 9726], ['pr', 10380]]"
10165,"[['sr', 2171503], ['cpu', 25650], ['pr', 16090]]"
